{3.997694972726432,	10.654868616213125},
{-2.403462981968648,	13.6720890385363},
{-5.1331564086691515,	4.909346303965272},
{-8.437469974774107,	2.079122306345919},
{-9.563588707608751,	-9.72233213234296},
{-0.42924834298212033,	0.016931805636062336},
{-4.096665824227681,	-15.73658543418442},
{4.877196614686643,	-15.264108436978251},
{10.98531142268234,	-9.040122292012121},
{4.246812479395459,	-1.5810306841921111},
{2.3228229564874425,	-6.080079117269488},
{3.015162210021277,	8.155099488950604},
{1.093922554901333,	-10.855539547859085},
{9.678572152503406,	-0.4957066600164559},
{-2.5158464684344253,	-2.7595492153724166},
{10.216187690774024,	0.6256714156642431},
{12.351518985685871,	-0.8107496693779552},
{-1.5845043769727702,	-5.173671331130574},
{-1.44474036382843,	-15.661824305364256},
{-5.906537759969197,	-11.577466560162573},
{7.92495400998623,	-16.815383198045232},
{-7.933720289025395,	10.614686468633103},
{-2.539079151548716,	8.94959402488573},
{5.852536986973863,	-13.557221138340232},
{1.506851597305456,	-2.08274248333932},
{-4.343753370327555,	-7.238388781035059},
{-17.61055046515503,	-12.278462189662779},
{0.9096068083897322,	-18.645939172772675},
{-13.899114400284347,	-7.116313812585389},
{-4.742266623068623,	9.70123819638437},
{-4.590921698636372,	10.442302181946076},
{-15.698133760579783,	-17.857482810781963},
{11.627441314070616,	-11.7767471362558},
{-12.014221280887153,	-14.88320270935587},
{3.1322554594343757,	0.14308490715407984},
{-16.210391122242633,	-1.915290981698515},
{9.951070628370474,	0.8901705685081112},
{0.073081774759153,	-10.133136401330596},
{-20.114981897342485,	10.545973191578128},
{-16.04799248310611,	-6.610542379594705},
{7.838727950128678,	-10.71806104966323},
{-13.852244001452007,	-17.149507663419758},
{-16.129560648019698,	-16.47832110324085},
{-6.062666222501171,	-16.260179285289343},
{-12.988399804853248,	11.291773659668205},
{9.260624815875499,	13.620916722405603},
{-18.569926107829907,	5.083266823612398},
{-3.19437931801653,	-5.70776219590703},
{-15.717187312219949,	7.882116094440978},
{4.5606349142319935,	-8.346735089846888},
{2.4048640752364996,	0.10146137753362439},
{-19.971741586582784,	-12.589927905665629},
{-20.03965162106022,	-9.922390429046388},
{-5.534238078705126,	-0.22008545474161778},
{9.250191548866152,	8.658565053748365},
{-21.411105793975537,	16.67392861244001},
{2.09391469612439,	-10.035392357243612},
{-10.134156367304225,	-12.167406322710946},
{-19.039183499874074,	-11.75479484076244},
{-0.43671267754793774,	-4.3882271564376225},
{-13.658496535638111,	9.887930460532122},
{-1.174494654987182,	9.88748859323157},
{-23.23840206810997,	-1.5378965722046871},
{-4.093380536642645,	-13.554066542481614},
{4.196931342434443,	-8.819841982915847},
{1.525947961660048,	3.4019840786501376},
{-5.718155188481095,	-5.993081347764136},
{-1.042144882031355,	-3.7080389566761056},
{-14.79864508825856,	12.154304164050956},
{-14.62241689895161,	-10.689975472885894},
{-5.451149645143296,	-12.666624822897692},
{-19.140462294532355,	-13.519686890733276},
{-16.784682661223,	-5.546080197222693},
{-23.06083214800253,	-12.825586866522844},
{3.873983372178021,	-14.380106386715894},
{1.9002624264346863,	-13.083296038106536},
{-11.216831813404891,	-13.940255546943575},
{-3.6633235774579624,	8.455377274266002},
{-15.621795403921126,	-12.213021075473037},
{-13.86935564619533,	9.649154935309745},
{-18.121461652630774,	2.6906333589802216},
{5.426646250544142,	14.147102753765004},
{-9.022273648007697,	7.047119197086424},
{-4.886469776630946,	6.172861495895873},
{-5.391343610594944,	8.835871392924613},
{-19.585934802810748,	-2.5898089461291995},
{-21.402602443221923,	14.025681391456676},
{-10.965239366598084,	7.307865247523953},
{-18.03681336638191,	2.2968681785730745},
{-19.997487311197883,	-8.958237418793491},
{7.594042969525564,	14.153699670436747},
{6.5105870775586965,	10.97384114665578},
{-1.9880019410866865,	-9.9908960837733},
{0.16501707687605816,	13.27588981840793},
{-4.633262626511147,	13.743250047055511},
{4.482176699566995,	16.55688635780836},
{-9.541846568777586,	8.563219932471164},
{-18.04289424892302,	11.91688431527566},
{-1.1774354740080994,	14.209051949414892},
