{0.016201804928313024,	-8.763900487954434},
{8.114132220093783,	11.12392760762593},
{9.371603069739397,	-5.773865801397504},
{-4.900263260054065,	-5.292740487535907},
{-10.54972976607105,	-7.942734760847614},
{-10.8035785990857,	-1.004004849934816},
{-8.576100967589078,	1.4741483003714517},
{-7.296097489785531,	11.632988572648856},
{-4.562175617174874,	-0.27045183756088065},
{2.0189844293575394,	3.009731909372487},
{4.972203693221342,	-1.9817087976470287},
{12.313206767014133,	12.752770363081233},
{4.244162594207557,	1.3690015808004858},
{-6.793641880805639,	-2.4269095917606904},
{-8.635649705546532,	-8.720054044006519},
{0.08627748447038641,	5.620266898904681},
{14.564996119994259,	-6.614693666996325},
{-0.9456235504039796,	-10.735254844177627},
{1.0427271655727557,	5.421580895064189},
{-4.663425270610896,	-1.4854828429509475},
{16.656123124427193,	10.545998825801654},
{3.8382252931700105,	-4.332591436991469},
{4.601731239253535,	3.4312701213447134},
{-3.9268118757211923,	-3.9614011662517976},
{-4.095499250750244,	-0.2678809049617783},
{5.205605645357277,	2.406061054799931},
{12.462030833028983,	-3.3930832757725913},
{-0.38918662735266984,	7.727923336737401},
{9.653891750525718,	13.797577978922625},
{-5.517321097264343,	1.634177502572138},
{-4.015941858505666,	-5.281242543772002},
{16.851123629845304,	-1.996332232155872},
{6.552521193357393,	-0.8998303464812771},
{2.048280693762633,	16.517273084055603},
{10.792488133449012,	7.82777091292742},
{-4.61347075085515,	16.402432079444768},
{11.786299542490266,	14.147266143851471},
{-0.6902421496281201,	4.287863711678323},
{6.899588972771376,	7.431667852331319},
{8.952195506332075,	11.000975393989197},
{7.605790739589509,	-3.424985224396477},
{6.754927526687419,	-1.101644697439097},
{5.89942792482897,	0.41118688884963994},
{-4.5483496597220885,	-1.0117638181751456},
{-7.763964183232634,	-7.173691170956575},
{4.768122773320414,	-0.4673387475189976},
{4.137081883929007,	-0.05411731915218709},
{1.0312754923198018,	-7.116949890944296},
{-0.999272518160641,	-5.497076343624087},
{-5.5738042469870095,	12.214992494806431},
{-8.107165925234554,	-3.590464186089199},
{3.2606076515541726,	16.251019755286855},
{-8.188799472094862,	9.000635030925135},
{9.533092183886922,	10.416228094436189},
{-1.0507964747448426,	5.0646992659256505},
{-2.133917885560603,	16.34709461035139},
{-5.571388410058019,	15.588240509871685},
{2.1769290696282457,	15.015010978187455},
{-2.0058921781820622,	1.4344632273943017},
{-11.23582909203898,	2.3372025234402267},
{4.729412224137285,	18.71724568462993},
{-6.295407568388361,	12.515107524473201},
{7.544709290264258,	-0.06750709734136606},
{3.009522218446465,	13.159909263055386},
{5.317150012216441,	5.125515560412904},
{-1.5874229335046959,	16.81284339346152},
{0.9453617371099892,	2.829279998196668},
{6.866335722441153,	-2.0124753324481013},
{-3.659654265109088,	13.446882578212861},
{-7.460325945843808,	0.6814135029053254},
{-3.9971746385965705,	-5.275355586167077},
{-2.0190149419825056,	4.677191512807701},
{5.081167691875715,	-0.1719767110258772},
{9.91468667361212,	6.317685941137764},
{16.40426611692257,	2.7161704707298213},
{12.331800224823112,	18.782452269390788},
{-0.32665915984550686,	-2.713870874800042},
{-5.717015772707342,	1.6531830796783415},
{8.752693241616795,	-2.6261804219956666},
{-3.814437890104834,	4.691813302835165},
{19.031231307099983,	3.930876227446758},
{1.9592607134561506,	18.12174450261905},
{12.077759605342418,	-2.2704591917827006},
{10.117513776953421,	19.36072036795911},
{3.8131804720129914,	7.689973700255214},
{2.917269350501887,	0.07155387952169523},
{3.9595750123476856,	2.381418531557247},
{2.674436283787866,	16.274846737713013},
{19.887295115023207,	13.906265773597603},
{16.148457242765293,	-4.575474744282948},
{1.017477671480279,	1.1203218083688347},
{17.125355399969006,	10.62208284847678},
{23.68417687656612,	11.99043875518364},
{9.982080026351113,	-0.14543459083130905},
{11.819896927734229,	-2.356604318155455},
{10.148751511942415,	-1.313208366757138},
{21.40499986039289,	18.246828449415833},
{1.4037678371912214,	16.922119957924416},
{24.7480600256484,	13.926977093358765},
{11.854379325462627,	-2.7193865767341503},
{11.768284310404933,	1.5710278121091363},
{23.997168344226406,	-0.4455442074879308},
{14.387400349391317,	17.87376045610099},
{11.43801077224414,	17.414830844100226},
{12.014301508679132,	18.534784417902056},
{26.73446282163,	-3.3994800349259755},
{5.217580398256395,	13.121817622388171},
{7.833509628011335,	4.4811867554303895},
{28.57811751272646,	13.071609838842004},
{11.285343095473003,	14.739778479911482},
{19.12755513477375,	-0.17597978167595318},
{5.944007210033728,	5.815397609151839},
{24.62851814721011,	13.736970569307637},
{6.628230251115614,	13.090923228143865},
{26.961622357641943,	0.4723145016660162},
{7.801760850941374,	9.847087772426967},
{23.22884562342157,	8.799515095778496},
{25.473206549036966,	-1.3903937557752428},
{3.6626114133952967,	2.2169808711951298},
{9.266896894397583,	8.733979161129945},
{21.27021211410427,	-2.6302295982368387},
{22.213411643905506,	0.5660167199740105},
{3.85136824403509,	8.432833927463733},
{21.309712600674423,	11.165076315930051},
{14.977683286089949,	1.4745394622083765},
{7.982007615141968,	5.436698572256889},
{19.11346586527101,	13.992354179145707},
{21.20210736512763,	5.798322008079614},
{5.377219436200283,	-1.5784093200612057},
{-1.8712211276867237,	8.511606555195833},
{12.681523251226103,	1.6883165415338262},
{11.376954903022165,	12.995468851197735},
{22.599913369027554,	2.702272652723847},
{20.426007334102508,	-1.651264614689401},
{-0.9126256051856725,	-8.000659269636898},
{7.675240569559424,	6.979723099902671},
{2.1512498106676157,	-6.702303632840373},
{17.779299591656468,	-4.649438978018777},
{13.270908275629886,	0.6515072139383378},
{0.6444241294778799,	-5.371067737858555},
{19.821969929083412,	-2.314207297458143},
{2.2241869321753924,	-2.8382985165155397},
{16.789033832219033,	-11.754105161111202},
{19.75279127743312,	-7.297401868884812},
{4.088619980381748,	9.453628143681954},
{20.886534384487433,	1.4995707815368657},
{8.73037364043251,	-0.45691381167921463},
{9.802962369920856,	-8.512585425331629},
{23.943274581599894,	-10.455378855214228},
{10.558124079716961,	-9.21266221995233},
{8.057541497336329,	-3.981098408933941},
{4.958158799984073,	4.421356331589639},
{5.687554883038612,	12.169701484081795},
{25.09136856292801,	1.4021632027201694},
{18.34404324733805,	0.22372318075160535},
{13.185156683840187,	9.0192420429578},
{26.665806479240807,	6.010427410232303},
{22.44926322954602,	-7.158051069801646},
{13.71489300771043,	12.039127204285222},
{6.661411449264953,	11.689758663503302},
{11.279046417890099,	-10.942526498667567},
{21.2036672306293,	-8.448535200247367},
{18.615852576286482,	-6.162786186056969},
{7.637830571672122,	-9.33304652868306},
{10.248796028005394,	3.3543643676514527},
{30.20793362015984,	1.1645189052544698},
{18.747000377523335,	-3.953757289404904},
{15.101222894112826,	9.501876304797765},
{7.922547330447749,	12.186990013991995},
{12.111707007448134,	9.848632603636908},
{20.577586329493226,	10.370764003448222},
{28.672728194395294,	-5.352860976408195},
{20.201189294597185,	8.642116220548896},
{31.44645837287336,	7.8478663674197335},
{23.00637604585589,	-4.902455862964977},
{32.223920936296864,	-7.954671339824182},
{9.777836024358955,	3.2794258045975724},
{27.947315997660542,	5.577737901152897},
{33.66945247592918,	11.235952988063588},
{25.612769625716652,	-8.59145881867586},
{19.59129750009435,	-1.1888057344564942},
{19.555778139672807,	-3.74864506822475},
{17.5986028740512,	-1.1684586271772766},
{27.215236781196314,	-7.916353481742771},
{17.30762546354635,	5.162689610620159},
{21.695381482526667,	11.878744339124033},
{24.671631030919503,	13.856677646898692},
{33.08522264290466,	11.54768410114346},
{24.10025816397233,	3.186132925634313},
{33.57686612598107,	3.278582013690558},
{30.96971216747133,	-7.872136339832544},
{16.54803975578504,	7.406806455977346},
{15.143246186514737,	13.012346267150214},
{19.581473859012817,	-4.2926519893586015},
{30.948291448952045,	-4.833812695082035},
{31.362392376307355,	4.676781771629388},
{35.493123666389735,	16.486430368253878},
{33.08707957691942,	10.283767397643196},
{33.57474636573877,	4.409516835193319},
{17.52080416213816,	8.619790874955797},
{32.56210711266517,	7.990429669163962},
{10.368120310333246,	13.601554553349406},
{31.68950663458658,	6.6694878661487955},
{28.820801865255568,	-7.299840318163151},
{12.167158868298138,	4.4346050189899024},
{14.772765857904357,	10.864123363247714},
{10.556314502503888,	-1.2943458873968003},
{26.261939481198546,	5.369627512625904},
{19.40201786539894,	4.340018176992265},
{15.150857938972408,	-1.8638284975227135},
{16.855326335383488,	13.011806641645247},
{10.853413059157262,	2.040100390145419},
{23.762549784597773,	14.025496160286501},
{16.36055938148034,	-0.917894723197251},
{24.45391069493439,	-2.0010147091276256},
{13.128243478555481,	7.89825532917523},
{6.751576073187472,	2.8511136184569956},
{20.04245670282846,	2.8622078818563423},
{12.190162794653181,	5.316077586552684},
{8.22185560230396,	-3.4296827878742526},
{15.06431173685204,	1.1813855150917218},
{27.686105296673055,	-4.916774174207724},
{22.813863219436335,	2.5894071982488773},
{29.2093129928868,	18.95033567646817},
{29.506667694695977,	5.975169098456412},
{26.591873731157435,	2.7241489818703206},
{33.05319982317925,	3.0633525643086132},
{26.955842119726217,	8.605108715685446},
{26.158149473177033,	6.44449281072292},
{30.392882712218857,	4.47966855641717},
{23.545003004453093,	6.837581449465475},
{27.67857601299705,	2.294877516500792},
{21.045374282042115,	11.459121270355425},
{13.592374877968131,	-3.2560631208340247},
{32.58243557640642,	-4.955791300539769},
{15.593907946747272,	-1.9647184107422948},
{32.77904007510803,	1.344752550525265},
{20.75089259278855,	14.723033750230492},
{34.92044113620162,	11.454641485707754},
{19.300054097944088,	-4.5066856217816},
{19.367723878707977,	-2.794360041822795},
{29.83857083080551,	8.968051513989966},
{29.20797212083636,	13.463315693269028},
{16.49963655938587,	9.280098899024068},
{26.072535661787853,	4.978266639546608},
{34.32027831964507,	-2.5924556414006172},
{13.142551822799618,	15.784314214105216},
{17.777693316043486,	11.428708760059465},
{34.316509714964106,	13.462520934706545},
{19.37854376756868,	11.280210683018637},
{14.418945214411366,	11.045496982061474},
{28.390125900053366,	9.27956104118355},
{26.30260364455447,	14.043644217031972},
{17.93854323902693,	8.551604687066693},
{24.37930047603652,	21.810764654047134},
{13.77602581482485,	3.9967022619576102},
{19.66606042556778,	2.7965813689828902},
{16.50384053375595,	3.2042280564969907},
{33.10086406273246,	1.648768888902275},
{31.92528366548507,	-0.12221917025931006},
{31.564974630087928,	2.4952127720449013},
{31.100967650578163,	16.649202507580824},
{29.718016602655872,	13.935170552262868},
{17.83302201298941,	15.84580761094243},
{24.128732069578483,	14.023177330572889},
{27.58478527157117,	8.666705462949515},
{13.654345820660064,	16.157687171765225},
{30.606146452567543,	16.113142792692653},
{21.57689173967595,	19.054785319262002},
{19.650002864289117,	4.372951327186723},
{27.77293336426155,	23.552500368728616},
{19.846750766221007,	16.878514624581143},
{25.085204929423178,	20.694354671511597},
{28.808045591391156,	9.402002315352359},
