{2.5311874066837667,	15.85323030434283},
{7.02165265303552,	-10.38557693247019},
{-9.040131172934153,	-8.370042995582612},
{-9.406362598898294,	-12.57035424073197},
{-10.489844203745687,	0.3454731469171115},
{-4.909155301174156,	10.453755970237836},
{13.871993384410626,	7.6516742569713365},
{3.5195107679142907,	-6.430889471075755},
{-2.93402663291576,	-4.756822495601163},
{3.9772148823945983,	5.897488272715865},
{3.61180402203259,	1.885302869855142},
{-3.9476266067737704,	6.098594193631481},
{0.6617629044740134,	-10.217155830888423},
{-10.438364017933807,	-1.2308934461105068},
{13.803682968945328,	-8.600136762557323},
{-6.296386421682321,	12.385996120185126},
{3.9440707822967624,	-13.32043653668385},
{-10.019734532867648,	-4.76508331038707},
{-0.48398215410038503,	-6.28932966920426},
{-1.2479225090199044,	8.306357733183344},
{4.892046253331557,	14.844125702407919},
{14.312115188414754,	16.84183979947052},
{-2.828816905532136,	3.9959626509706183},
{10.968660565086132,	15.966333055460101},
{16.346283096129575,	-13.713851078317155},
{22.976613533822736,	-2.783514519732993},
{19.464925742940263,	8.230206733929933},
{6.522839661758592,	2.283527568599183},
{21.830592442852723,	-1.1453447790873739},
{20.05900195282304,	5.876447855953504},
{20.812711369479068,	-7.085056341208112},
{14.50013446072802,	6.206849623614332},
{-3.7886326824910768,	-9.928458356974254},
{22.085724208108388,	-5.578945375960085},
{4.375861193474414,	11.27879817288547},
{4.973904447431433,	14.04769033337179},
{6.71588200041262,	10.685361809554763},
{-3.1458514303338774,	4.288884911561901},
{-4.872740191877597,	19.52725050329609},
{-0.44189646458098153,	-5.1779440922523},
{-7.650138870976853,	12.482684203992118},
{9.02907169065783,	2.8404389209662604},
{10.329881956040158,	-5.077801989746625},
{-4.851806732659693,	0.027467830385560887},
{17.49919224863982,	-8.480004068906702},
{-9.433311866223747,	3.3096850819693984},
{-14.524259021142814,	-2.6768955203563394},
{-8.74848878819311,	7.9487436035209384},
{-1.9626797188629226,	-10.175612463152799},
{10.992748175532263,	-9.459512480824166},
{10.417648761285864,	-8.43607939307774},
{-13.002117127753898,	7.47675197341745},
{4.68787560638771,	-6.881726568747887},
{7.098310790674624,	11.753632256015525},
{6.056558357892847,	14.765719829942288},
{-4.392227015700978,	14.9895313792688},
{-1.2901546037372178,	16.664803164443075},
{-8.265772007067884,	-5.479203258430591},
{-2.430909743064312,	20.193105704078654},
{-5.294309610882561,	4.686096088147643},
{12.674703700526859,	15.111840501112898},
{-10.537979520661853,	4.1850891180202545},
{11.440869777283012,	1.5977789607509472},
{2.7686536864345825,	-0.3759595268423759},
{-0.989684916177513,	8.200145272925255},
{-1.0433081375536055,	-4.726871073574419},
{-6.361324058273045,	-1.740566059310055},
{12.29028160795541,	20.749419179049255},
{5.358246073416424,	1.831833862144432},
{-10.972475948040412,	5.573667423199765},
{6.556098228601304,	-2.4183093249902328},
{3.1618142321132545,	-2.8093785465886363},
{-2.0102693203097246,	4.635436404709004},
{-5.522417413286664,	20.712244483622733},
{-1.8846013014661942,	21.99596203320862},
{-0.8631012306204688,	17.03508307066807},
{21.237910328933438,	15.537961864437161},
{12.950339064639579,	22.796736924548956},
{20.463525102007186,	18.417674691841892},
{8.664260814988186,	5.631495779228214},
{5.9112367447685905,	23.1700811340024},
{3.937684741142821,	21.805052086557414},
{8.667279081430497,	16.020911481585966},
{20.963359720898964,	8.646816996032939},
{16.534108721344023,	-7.671785335101475},
{8.270601413627652,	-3.399174365779281},
{17.700831483801608,	7.190280417215064},
{-0.966501643926641,	10.565848578354025},
{14.24832009783939,	20.839593560975413},
{13.322758345043809,	19.61883586344414},
{22.263368986037673,	-9.953762286494296},
{19.23422244220292,	13.88253298983581},
{29.19093019527165,	-3.94823559190986},
{29.195779506920637,	16.972139049495148},
{22.594605850011327,	0.6994756344697031},
{5.884278124122719,	17.926500631119346},
{11.60957413935099,	-0.07811007574635553},
{3.7402099024479547,	6.763103018764497},
{8.755492910697289,	22.413424979118037},
{13.546776092982316,	-3.418321673564126},
{22.663362605755335,	21.517933181175366},
{5.537339277609622,	0.04791974951666589},
{15.052878063648382,	-6.75153714526413},
{14.761527191991089,	13.528347631023404},
{-0.33111190710943816,	7.167404401569321},
{24.611325607480666,	8.440768673989513},
{29.55083378866043,	21.087755614665806},
{30.254684135498906,	-3.489572403347971},
{9.719885826416526,	-2.4250029074041954},
{29.485462853052365,	20.667377217902366},
{23.936092810029347,	3.814319297004669},
{3.3804579551427274,	0.2734312969663293},
{29.14787044824236,	-4.576750877916755},
{4.473557082829036,	5.471363423890967},
{20.479004633203683,	-9.042636133182675},
{10.41857364290562,	0.7067627232578069},
{2.3048072416489163,	1.3414378317167994},
{15.270178615413535,	4.4403690193314205},
{19.576704907564658,	-5.28586137258905},
{-3.6163186065642385,	1.4213327854098914},
{20.259425259022912,	8.136225833954878},
{10.708539845667822,	6.458354616428075},
{6.062418441232609,	-3.4181410739931017},
{14.189149927868424,	4.0737157683921765},
{5.532225220950934,	2.5259690059133604},
{6.368308629196466,	-2.276182996822431},
{-4.236428897540687,	-1.484993992647155},
{-5.62673412111387,	7.15901020912224},
{19.932147017926713,	18.037092978361375},
{-5.045098506469188,	-0.9369175689235654},
{17.224446572157703,	-1.2465049499830059},
{18.786470889268738,	3.312882148151626},
{15.569940296268268,	-7.7819476032032},
{3.539082461869981,	-12.656068205071609},
{-6.048855966432242,	18.677017630333633},
{7.662887048896007,	17.625789895276725},
{1.7235570219486362,	-12.804437387630795},
{8.713281687018945,	6.0460464929106195},
{17.658247019297168,	7.131443115428588},
{17.50089862006219,	-5.88237403157013},
{11.177222149527953,	4.783315539657998},
{-1.560638852076142,	0.18718774369154545},
{12.843557950588504,	-14.410006271830596},
{11.014667617164744,	4.25930774235243},
{11.840897135314254,	-4.676663621888},
{0.6095789007162864,	-9.963664242463963},
{15.424923429806839,	-5.706207265277751},
{22.71816674710782,	-8.136931543103472},
{-1.9479271243457283,	-8.446311376184386},
{5.842434540868869,	-11.54413507066096},
{8.473261457447634,	-2.852039645501904},
{13.8628457564134,	14.457651888470629},
{16.776059663736483,	16.70416367378007},
{0.6607716387524754,	5.9069566144818495},
{31.3693088433579,	-4.797379213161719},
{31.456468319925083,	-4.615568672871536},
{3.940635053140621,	7.822684814500562},
{24.4650470760384,	0.3941520265311276},
{24.897844823180183,	-0.992391098327861},
{29.501524853621575,	0.018976866746005072},
{17.874457215499703,	15.728945143695455},
{2.222870405561114,	15.562726092898988},
{7.123088528178641,	9.025960261496301},
{17.962288317941653,	10.33572402956425},
{18.43953337399564,	2.8141572026116144},
{15.20358245724432,	-8.09146125512958},
{15.459922982017336,	-14.134194299594768},
{23.18960628486031,	-2.436877646533805},
{2.086137771688769,	14.499587587648378},
{22.529532936225007,	12.5424325901223},
{19.657199976748814,	-1.1714560553814515},
{10.772874558103425,	13.849090139694557},
{6.703839287453565,	8.283474416024973},
{12.904239775659892,	-3.010991186845949},
{21.03887768851452,	12.497901540191979},
{35.971734103824645,	0.9821407307149528},
{31.88652925035367,	-8.028520259482576},
{29.22620392925585,	6.203214538204499},
{36.372774097212115,	5.6802101532703055},
{31.299829765647186,	9.184731975511028},
{39.830758736792056,	-10.074852647974982},
{32.11649696952544,	12.381965283303092},
{16.142634338539178,	14.429999681223006},
{28.82445460387995,	-2.595939329443162},
{15.792358971024584,	4.822520470448417},
{10.534342690453215,	2.902389511906634},
{19.40055610058304,	-9.6489965750341},
{18.540920069288553,	-6.221563116420647},
{25.763648750167526,	16.007617907754472},
{22.300290906597855,	14.480715096897491},
{20.179704955716378,	12.27266654689523},
{10.183255112249956,	12.272624389373547},
{24.250211000606477,	0.20322104165584065},
{31.8671244122683,	17.410033483271253},
{33.59519905498257,	-5.98728625829672},
{22.04151514178473,	7.5639115788682325},
{25.39445760772636,	-9.680305054205398},
{32.89327582201015,	-7.563227174722321},
{30.06228228062991,	11.090347442417219},
{24.904810834813762,	3.364837051059819},
{27.221878595208448,	-6.898015091539801},
{22.385959468782726,	-11.185665266664007},
{27.705122404865584,	1.3501968246575125},
{32.69952396587673,	-4.15150293270996},
{21.53202328367544,	0.036094432743905},
{8.385949619552665,	7.326391035621768},
{15.155576214586013,	7.13638282357228},
{13.246651026126532,	4.619592158799719},
{17.69646335118194,	-3.5884648223594304},
{23.867017156702435,	0.05526446936855578},
{7.312116387168047,	15.6898923695211},
{25.50439241796521,	11.104975858328366},
{10.644940587023306,	-4.0894039472046195},
{17.787384557922138,	-10.252766828867255},
{17.00014047928499,	8.85049396790658},
{6.660611988529229,	15.843920595586706},
{2.502871852061208,	-3.225696966752981},
{10.477096419234392,	19.909459995073586},
{7.978497491844401,	9.291466430953808},
{18.627365465244804,	-1.194676501966022},
{13.273747037812146,	20.570775324205666},
{15.115893094287316,	4.494317979732742},
{2.1143159476702813,	21.40818048709993},
{3.311148462767953,	9.216647771610198},
{32.12416340777054,	2.2392935878830116},
{23.365817175640405,	2.9333965750696613},
{33.48140195767196,	20.265044372013094},
{32.61159325207056,	18.194223464158537},
{23.785978453913078,	15.436372601951938},
{20.338550445372924,	15.671065022568378},
{30.333739069915453,	-7.197044141042731},
{28.550929478882193,	-6.182667555473227},
{31.188116299671787,	12.672422293019615},
{16.383774007006327,	21.021465699468408},
{36.04482639022574,	-0.5814071626352231},
{34.07363084798795,	17.64229223307726},
