{-3.6395510400965545,	-5.056898093350444},
{8.829093707536833,	3.1523149995003585},
{-1.1115830695607407,	5.73411882303024},
{-5.313560429412995,	-1.7774694684919172},
{-6.161981992518051,	-6.606342604610809},
{-3.772561566917359,	7.800778805909644},
{2.739167942304542,	7.191327499570374},
{-5.931275137912481,	-4.250619527925094},
{4.117854113984791,	1.498814054612433},
{-4.246535705100218,	-4.005632259642864},
{0.17992864265321984,	1.153852425226642},
{-1.4282392455464468,	2.4718837903108},
{-2.8512024233582682,	6.283753039008738},
{2.3794342984759638,	5.7504882632260745},
{5.767292327461,	-2.245920131635053},
{7.284040595579569,	0.6005162884619626},
{8.565171320823591,	2.391883364389079},
{8.47430933362351,	5.083545803088828},
{-1.3416264615740143,	-1.350949017229178},
{6.838672379622324,	-6.218847433361132},
{1.7461670284440203,	-0.4692134881168375},
{15.201295760913663,	-3.0906380614068603},
{10.992188329627762,	-0.12813320344228174},
{8.272514630789098,	-2.4764938907963483},
{3.037163995777531,	-4.821803693341588},
{9.98099180586265,	-1.323818535414354},
{8.358074083753337,	0.5988328506398446},
{4.436100592120351,	1.9886847706776098},
{5.454672786781174,	10.266999910962797},
{7.950294954697549,	4.254966924444835},
{8.587826070293461,	-1.3526940641609873},
{11.842595614190287,	8.433701436436829},
{2.5076831334809686,	-1.7256383386444742},
{13.177368891863068,	9.539189300485758},
{2.1259522557524804,	8.272424923661891},
{-0.12356336859945038,	12.991574020337778},
{4.920962142109408,	2.374389880131284},
{10.439670845473604,	10.8012311833943},
{-0.08137581434639785,	9.935058455883002},
{-4.9412641523702,	9.982087905564168},
{9.396371046820718,	0.117577274877803},
{-2.964709653547647,	5.957182926543975},
{-1.740998117502107,	-1.1604048577984862},
{4.205796653253152,	-1.701214573658337},
{10.674079309283051,	5.5433581978235775},
{9.903785864675301,	-4.55614571143791},
{-0.44409469421549197,	-3.2500405822283973},
{-7.077348790267266,	0.12606567929133305},
{-5.443369963529102,	-3.5631881982794926},
{1.854648640605804,	-2.272968463304169},
{-0.6717468995938773,	-2.501666843582967},
{6.744386188656772,	11.520993446360386},
{7.260263991342089,	1.119719127577147},
{-1.9532495161375572,	-0.7018010500202365},
{-0.9964227273255091,	8.917356176174254},
{-0.6074850045108633,	2.380642572359429},
{-2.2485555531836496,	-1.4776853149119944},
{4.141294522146577,	7.22080866260899},
{-6.416540796003726,	10.1183632375258},
{2.3529677425043527,	8.380657137809507},
{-6.455394205756193,	11.20566511113223},
{2.871873882074077,	5.416743901090344},
{-5.816507210410576,	7.239401337162926},
{8.540090964749329,	2.2214867024329497},
{-3.8370240225867196,	4.416006037938349},
{10.19935662107484,	3.011577158282792},
{-1.1671658407870762,	12.430328221472879},
{6.442216307951453,	2.4750818514836332},
{5.636584635978192,	13.146826365746177},
{9.027657114743215,	4.619920997842788},
{2.3632862261480856,	6.994079704384966},
{7.491140444740772,	3.7882404611456852},
{2.031220963171405,	6.290934912181976},
{9.841259355581757,	6.251608920191881},
{7.634871802053063,	12.38491209511834},
{5.920408979694832,	14.130146146432239},
{4.924708209855096,	0.0556273909993692},
{8.448923333428933,	0.006711038436330696},
{5.585608852047674,	12.81235634986565},
{8.117350438081981,	0.5583205093798611},
{10.759492678385417,	11.773638700611137},
{13.553693441894882,	9.900727809161614},
{10.702284340252856,	14.395320857459922},
{15.601209954121334,	13.795059173487724},
{6.275105912622511,	2.5078887156861907},
{5.0384678452168945,	8.440530395004432},
{13.43190674374487,	10.374191302344832},
{15.371308287942163,	0.5603781097208635},
{2.386739926438773,	1.8450026142927012},
{3.5442493944184825,	13.328688458129399},
{19.35559013174794,	-1.275101205458137},
{17.45431682321572,	-0.5000400729862893},
{18.47316205213749,	2.2731339179011254},
{12.059024621009621,	4.334197898451519},
{12.489304639284812,	3.7686689308290067},
{11.0608346032715,	-0.01973641192370401},
{18.37526900267789,	10.067881582394572},
{5.0137547158312845,	15.164331725448537},
{8.525576792136437,	1.0503882242880938},
{18.823725022310683,	11.361803067172957},
{13.445307887597135,	9.211410045879363},
{13.253797774751883,	1.1197973488465802},
{17.471893815531367,	8.659558265217422},
{8.046844877020805,	3.233374080360072},
{16.924507042953966,	13.630194864675511},
{19.704418847011443,	-1.7534084669169339},
{9.050408643300345,	3.623351051810081},
{14.54189518414523,	7.455270064791465},
{22.366995781836035,	12.585995154666104},
{16.147633240186032,	0.7426900602958391},
{11.176135086616402,	6.382947797734863},
{21.281162963226496,	2.8683112530220836},
{8.403797079270868,	2.830417472555819},
{17.816797353991216,	1.5277168762257638},
{9.763295919438306,	10.878919988768688},
{13.49106513786444,	-2.1398214679796013},
{10.440088875696075,	-3.6321113906507545},
{21.150974707736765,	2.907377582895551},
{12.284450930502182,	8.608950364562231},
{10.42741239173085,	7.2353247284739695},
{5.773697961479396,	-1.0083324158246736},
{19.626242078025157,	-3.741140041824302},
{21.524337717767903,	8.803849530416835},
{11.753608495607374,	6.671135272651442},
{20.73365395895215,	6.476039277403064},
{12.789675962938091,	-0.7606720351350393},
{11.489349847960886,	0.8970962958634932},
{2.1035181855263705,	-1.1789652162742819},
{11.014311435409365,	12.360490480725847},
{7.280725166322956,	8.890353499927864},
{12.487461982322937,	11.056963509066852},
{9.622616530636474,	2.1407733931352926},
{6.829818416611818,	4.9986974537322055},
{3.513041846461899,	-3.081692661617696},
{5.762147523375944,	-3.0784108368129033},
{11.485375268151142,	-0.348669096686951},
{3.1889875009879898,	-1.5059814786020453},
{6.990441867484995,	-3.1761087152132372},
{8.1094138556079,	-1.6391387065767766},
{4.610990742751998,	3.2074913387776594},
{9.243634211741576,	3.415379356126655},
{10.538003339888839,	0.11949915738345851},
{9.520140809335874,	0.8157889709838848},
{11.827784452038587,	6.144210797111159},
{4.53240706215424,	6.906181507880643},
{6.251688529839992,	-0.676574096849972},
{17.524307767212623,	-4.572973599845033},
{14.05205798268311,	4.520493147327155},
{5.946887557340791,	2.9816597687466135},
{11.246861978847996,	-4.74723220278627},
{17.910363214360288,	-4.8388147714189},
{19.50560244716021,	-1.44401609351738},
{17.63459569778806,	-3.473935491637242},
{16.700785018153507,	9.231253511604175},
{23.264207986945966,	-0.06016431406647804},
{17.669003199192858,	7.890448331842764},
{10.71195331392987,	3.742442012138751},
{13.195700448207587,	-1.4521295304284205},
{8.973534512534558,	-1.654247604670573},
{10.350589447016684,	1.0503166090320928},
{21.27724527814466,	-5.7737577166028355},
{18.861618021435063,	-0.14515229243790984},
{16.21142093936443,	0.6998080806835354},
{13.31691805095513,	-3.9680709596484753},
{18.57760611075502,	0.9753267275874471},
{14.454921333130134,	5.8131143325442896},
{25.585184818511323,	8.445838179327403},
{18.78889072662691,	5.504617535783353},
{16.699252418871545,	6.340454640549424},
{17.85497152852377,	3.2151200169565524},
{12.637367734839271,	-5.927418187159976},
{24.59626452140602,	9.745967890211853},
{21.906960970731532,	-5.112117928309207},
{24.841117216425552,	6.845098168830875},
{15.98582331648776,	7.42433116288106},
{18.52453122859805,	7.50415024941025},
{22.340114880592004,	-1.6315645346021945},
{27.71744273188461,	-7.630347632942598},
{19.20191099444913,	5.006279955183187},
{27.32744526037139,	-6.332871340170566},
{17.104993221517084,	7.9014691865696385},
{30.25724435309033,	6.598572507586578},
{19.4441991085628,	2.5705093739887577},
{26.832020664679852,	-3.435318241653226},
{28.411596578338212,	0.8272562559233183},
{22.03501510528295,	-1.9327016321567019},
{21.632040040100144,	1.0398924254546422},
{20.918911902517863,	4.337091605496308},
{26.12469594951903,	-2.838907421533065},
{19.78198679475446,	5.497187896898449},
{29.017718275757687,	-2.306949601680463},
{25.33541455484373,	7.741626606243436},
{24.725669320386473,	-3.3233868502739554},
{22.720275703491026,	-2.7605510402638895},
{18.82454496279515,	3.9827810075490593},
{18.64849093763522,	1.789752697192739},
{31.92536246317072,	-2.0869593513277547},
{30.14641667519382,	6.431931975724709},
{17.640394457963403,	-1.9336189371593004},
{23.83761955230458,	5.399593363269448},
{21.02210990093174,	11.352741719686012},
{23.502585892781656,	10.852465475539255},
{16.990348195232194,	7.032286722455115},
{28.9718062210383,	9.766057910500995},
{30.229106831264275,	1.182369545961162},
{17.777473918646866,	8.789092342205445},
{15.839833610857248,	9.333597262782495},
{17.65786662329133,	10.320314694027791},
{25.409002697634612,	7.651425572640164},
{20.047073289295557,	-3.44748648371133},
{23.97687697804635,	6.0723947487478505},
{18.11825393284858,	0.749312129642048},
{17.923603383577223,	2.2734874228871575},
{21.143769468259272,	4.632517821257068},
{20.2715046880323,	12.47708690599999},
{19.68370207251293,	-2.122961060250244},
{19.725125786181593,	12.445510673815587},
{23.68577550894979,	5.765719609635623},
{18.786711666269383,	6.051175534955913},
{19.481485216944833,	8.073934360476539},
{26.89866868263718,	0.15537270778140488},
{19.751438439692606,	1.1918903895895667},
{10.184082783347748,	14.951738721546818},
{12.550278145222846,	15.826372348904641},
{16.960567414006498,	0.6762023880829986},
{24.518049665637534,	13.124569980313318},
{23.93567393464089,	6.302891675782885},
{16.929168013740554,	8.006311995417896},
{17.27094521619931,	4.485383989452012},
{17.551262560705673,	10.387620273548896},
{26.060809518556077,	8.668431183426232},
{18.002081242130473,	8.311120939739004},
{21.625640581695293,	12.903420045849598},
{21.515834998630478,	-1.6383994606012493},
{16.786337565415103,	3.224988084521856},
