{4.218962043962232,	3.868185519964154},
{-9.10585482311058,	2.615607766053216},
{10.76827840888874,	1.0592007602026712},
{0.7999963972206352,	12.530321780311894},
{7.98914816250111,	-0.09114697343215994},
{5.474076073915395,	-5.104856333517247},
{1.4922929703369547,	-2.2983117632052874},
{9.430732445015874,	-17.798652703136153},
{-10.579182862411574,	12.366605402581879},
{13.402318923500626,	-6.042361383142374},
{-11.784711654515718,	-6.2109919416000565},
{-3.927210764254667,	1.5913449967552573},
{-2.2545177473032147,	8.238583678531086},
{-0.9554537298943089,	-5.656705471437721},
{3.842580993446653,	-8.182859813444395},
{1.323005708036689,	5.429263445262194},
{15.113610768813032,	-14.765997188058403},
{-12.384072910126207,	-5.458647756823122},
{-0.3421251422656084,	0.15816305845901724},
{2.3006649871699167,	-1.0705132722952762},
{-14.865212682211062,	-2.8898062041105455},
{-13.899341300004401,	3.9721876690568507},
{1.8692900404048949,	-0.6824054649530567},
{13.578128118105727,	2.254632501266226},
{11.557271813348123,	10.319467279710132},
{12.342715075392043,	5.7611519193586425},
{-7.347781798109715,	-19.682780214418145},
{9.113216672566779,	7.454872827042333},
{-12.61195316394208,	-15.424229852850182},
{2.839684854212088,	-21.499727826827304},
{6.48447556071055,	-3.551354468659003},
{8.11745422622899,	-4.950175527121907},
{-5.274925158300132,	-15.337005534456324},
{-11.732388467408924,	-15.797979645248628},
{-11.962893078892908,	-20.311513075553734},
{-7.761256624689796,	-12.390631820642437},
{6.623270146869576,	-20.45739328505616},
{5.18791630404197,	5.507071641117037},
{4.080855042051496,	-0.09863805741120046},
{14.421752353461716,	-22.810480517561718},
{-3.962004494551813,	-6.065277057900211},
{-2.803149416698279,	-6.148058391240838},
{-4.007615110112788,	-24.466585489955673},
{11.587758710182772,	-3.239181609122717},
{8.529055756035472,	-14.915909771971684},
{4.878773106819207,	6.506558016921026},
{-0.21171512494775513,	-3.2730506866147913},
{10.563193440891986,	4.7634838818678205},
{-3.184385460117827,	-4.495681290819274},
{3.5465870034580433,	-16.576569193316974},
{-9.002981901698362,	-7.75263420941889},
{-4.5078259849625155,	-8.352849619479397},
{-14.034862974707867,	-16.95872709921208},
{-8.492760181319838,	-2.6239965996975982},
{16.547112695823447,	-22.697777261067294},
{10.021718556174044,	-19.04106401867638},
{-1.1729989401387328,	0.7021240441546652},
{11.573493305694903,	-12.32687673979359},
{6.143029310017077,	-26.46852960451704},
{7.387167252214368,	-27.399996493311033},
{-3.1133878599635594,	-7.346154944322681},
{6.888828257740812,	-25.116422409758265},
{-5.251009660839117,	-24.264838246629473},
{5.062407206982513,	-28.230259026211353},
{7.456278717743714,	-2.329973628933569},
{-5.369516035436053,	-28.788169734698467},
{-3.294072244171012,	1.659310453413795},
{-11.576646219021669,	-26.695983758746586},
{3.19529665204416,	-9.119212329499462},
{-11.020409928363694,	-6.9199363274841055},
{-4.359882933808699,	-15.976608973697981},
{-7.339134713886921,	-10.963802191725936},
{-9.405512051340573,	-7.944039902728132},
{17.13819319837035,	-16.190074885894965},
{-0.12714123255470966,	-14.893166956108189},
{4.651989766095916,	-17.972461127649424},
{19.569787705685872,	-14.310797966921847},
{8.177687894581776,	-12.946847820462143},
{-4.591574600667709,	-20.17072883339692},
