{-0.1092813556797756,	-0.28341133921639106},
{2.120168648373573,	1.9283926402535085},
{1.4554957225604337,	-5.19538082245389},
{1.6673658933862434,	-3.443727395745782},
{1.2094945685689682,	-2.7673711894886175},
{5.777097095624504,	-1.8895607856624306},
{4.80021429993302,	-4.279154440412904},
{2.7159415848509347,	-1.7202197040041085},
{5.303650533106784,	-1.359653353813762},
{3.8592015307749,	-2.8297013625253884},
{4.982816707048066,	0.9737607526267142},
{0.0006794842980086813,	-1.2650797725476899},
{1.4110928251012806,	-5.29454258558284},
{2.8530566274272484,	-6.402472452766195},
{5.981994985196047,	-1.3429398982691252},
{6.597102738002154,	-5.364706140014897},
{6.141263339316751,	-6.9123929484286135},
{5.386876987159424,	-7.501221665549168},
{4.050052899957927,	0.29916248248980715},
{2.8875623653819567,	-2.030083189468934},
{2.537365837289614,	-4.53826073143713},
{2.8810887174460538,	-4.8484292111801475},
{2.395305819023303,	-1.5350666185077868},
{1.3982347210215744,	-7.178964274446092},
{2.6233910650174748,	-6.497248875794473},
{0.8273080301193536,	-5.549638873267024},
{0.5606264133288361,	-4.363215281328505},
{1.4697716827864111,	-9.767778115309305},
{1.3851734356211693,	-9.934517715974804},
{-0.015274811912888708,	-7.62099055273565},
{3.1261913685074667,	-5.289762144156537},
{1.4835664160421054,	-3.5247989110907545},
{6.545077339613005,	-9.659675010056048},
{5.157777779693747,	-5.646663067936704},
{-0.4832104487758473,	-3.8195868562802273},
{1.0699755648204086,	-4.393892325299033},
{0.4156195732214192,	-9.598929746611237},
{7.221372376141473,	-5.300402757628871},
{4.600561693061919,	-6.423068317516895},
{4.810861934258815,	-8.097238672300989},
{1.1243810023260679,	-7.4242153070653485},
{2.196468838972293,	-6.2731049027633246},
{5.834121839787138,	-9.234636105987848},
{4.980852023082065,	-5.513171576939905},
{-0.4084046750292849,	-7.345379525140969},
{-1.4971848498043343,	-6.333604476465393},
{0.4224747801154347,	-6.632950048286001},
{0.03518492115405891,	-8.99050746521677},
{-1.5914189886653398,	-11.587704178991935},
{3.609365495005452,	-12.453681177473515},
{0.6576024299458707,	-7.616713012698987},
{1.2298796773666627,	-14.02269954693809},
{3.535542314858482,	-11.70783003507332},
{4.570578438928802,	-10.01440474542342},
{4.853248855277937,	-11.271601906840905},
{2.131445337343288,	-13.079680943335255},
{1.3062508416498675,	-13.332548125141923},
{3.354017195899746,	-16.904457878875697},
{2.6715717384874935,	-14.844937862993183},
{2.290471615065308,	-11.20143615067129},
{-0.5817462007223346,	-16.558739360836924},
{2.8278005017651306,	-12.880058841768705},
{-1.877252961703487,	-16.574351056984582},
{3.2785374790551947,	-11.1391174946486},
{1.5423640735841024,	-17.723971821686742},
{2.4695442407518273,	-14.82434733901226},
{7.34054050796905,	-9.58989383860979},
{6.7643443380654045,	-11.955816161355738},
{-0.9575003372171418,	-11.05514760524461},
{0.7484470929706237,	-8.426519871723368},
{7.497470705583517,	-14.591723638944892},
{3.4135119374741603,	-8.170280737385127},
{2.0643931436034295,	-9.315489750428227},
{5.528861656702804,	-10.593852450567017},
{6.415419509923835,	-11.13496558982243},
{1.2760335546569106,	-12.973575400299506},
{5.374927220178783,	-13.207033614167814},
{10.96156111940527,	-11.24026825510931},
{3.9883936520629746,	-6.960119916583814},
{8.715322121904082,	-11.147001714538},
{5.442045621090842,	-6.714168992129232},
{9.134589169994149,	-5.657452937984036},
{4.8938508206735145,	-7.315138583324226},
{11.29314449301965,	-8.700942427462962},
{5.090423516957434,	-7.607808709092948},
{11.987078967586758,	-6.229450821997745},
{7.266024966945964,	-6.674130023515537},
{9.236996607841776,	-7.273273496165546},
{5.684564387828976,	-10.349856011009535},
{8.003629839977052,	-3.084763976651769},
{9.954108854790972,	-7.018432319919822},
{7.7701985198680505,	-8.734282296822897},
{9.093734652850344,	-7.864641603282514},
{8.757437122043745,	-10.722587816959221},
{4.957161162106269,	-6.7118467008398355},
{8.329280422436284,	-4.771491790572283},
{9.62462949839248,	-3.0057623371571074},
{7.349926273106143,	-7.0249171321971335},
{1.2765188133414185,	-10.941804483128358},
{6.389962286657977,	-9.687616049416516},
{7.4290621954839935,	-8.21109971069044},
{3.51764342109475,	-1.1324023443938902},
{8.03918867474599,	-8.635427870922832},
{10.212927416343444,	-6.650655747385129},
{3.403846367328244,	-7.07395736627611},
{4.687772371766106,	-5.987531639835672},
{6.3553716395403175,	-3.5178109489938905},
{6.202525318901791,	-1.4592759870827834},
{2.029488009970561,	-5.6987576863576725},
{7.709620562227159,	-1.3661235528844617},
{5.528826363216426,	-3.847137878843636},
{4.616636848335669,	-1.5899421876406734},
{8.138683173673858,	-3.9386085565605624},
{7.757422872885225,	-0.6237843834220218},
{5.475075274223701,	-2.305738640273365},
{8.645603312519036,	2.561853098682284},
{5.121999582170392,	0.8438547662989828},
{5.126864152217953,	1.882307136288495},
{10.718274772366998,	-1.4158219443829205},
{11.278597019014502,	-2.4198232826447894},
{10.06897456259705,	-6.935714577779691},
{12.118368915494557,	-1.253924360357166},
{7.393789405348573,	-0.18773751813687767},
{13.016254144279632,	0.1939989367981365},
{7.921370869367258,	-6.864387677560433},
{8.54608260925507,	-7.619043137048572},
{7.808622228775173,	-9.458095360789534},
{11.067609663253199,	-7.0742321698901245},
{10.626787523102823,	-10.620652069909589},
{12.041861172546716,	-2.0608814655532806},
{8.369216133621102,	-4.135562303322432},
{15.73559394543457,	-10.658038785934673},
{9.148420384010311,	-3.316073027614176},
{16.98588702772912,	-7.4550637857656135},
{11.955528897052016,	-8.680576618332477},
{16.85264865567488,	-1.3235086448687277},
{13.284580926999329,	-4.632798369470755},
{13.348123645716944,	-7.865917184422031},
{10.85043350322982,	-11.06229598406663},
{12.022534032128892,	-11.573308580529744},
{18.761613139347567,	-7.865057093749356},
{13.78781836131691,	-5.231426329399246},
{14.371059710589137,	-7.550805979072499},
{12.137643946084172,	-7.590002949401381},
{13.847096006344689,	-10.907158174993803},
{9.270201906409344,	-7.999599741823829},
{11.199090550705126,	-6.513839032976095},
{13.535962344878799,	-7.564093549647335},
{8.262971508152644,	-7.98702585427474},
{8.749927745283522,	-9.051980566335036},
{8.675973689377283,	-6.789259993968926},
{8.272486467236828,	-12.792017831190496},
{13.958344071006977,	-13.200691633490639},
{12.480935488352205,	-12.925274176558716},
{12.603993863575317,	-10.73246396994},
{11.961748022627479,	-8.55813163010015},
{12.359069635541207,	-15.142877447475007},
{14.690327526063133,	-10.612492426349633},
{9.435085949001351,	-10.936735594923928},
{8.691059342346499,	-14.585335213956178},
{7.56481638088263,	-12.381400855245897},
{13.884883792217112,	-16.363124532616016},
{10.477692326922753,	-13.157405845491501},
{12.558392126545694,	-12.899057840170354},
{14.305117700949408,	-11.23548414154251},
{17.836082867830406,	-12.20502224328443},
{18.81479103256282,	-12.552023353258761},
{10.685544530583659,	-13.386108362571385},
{15.529498056784593,	-14.575216644564925},
{14.078826104101012,	-8.507531567011998},
{12.382780721835157,	-12.994349204857679},
{14.873931571597176,	-7.8417890005887205},
{11.949917024470658,	-11.43202817128332},
{10.158382650592284,	-12.649262308976812},
{11.594652021158183,	-12.493093782231632},
{12.571353617544437,	-7.754571037979995},
{19.539191411321873,	-6.846373078495761},
{20.925849717397046,	-9.23901977020886},
{19.789382960070384,	-12.80879093069094},
{18.512328532115188,	-12.21006615849004},
{18.292789548678208,	-11.817197843317853},
{13.240970243505538,	-4.618716649631994},
{16.89038433104279,	-6.130117619306943},
{16.612654467557114,	-8.054710348885877},
{15.386438821475222,	-7.3407226042951645},
{23.397096837131734,	-9.121733173971997},
{21.143469530042346,	-9.982538148853923},
{15.760983544588761,	-10.262895923942331},
{22.927079596112698,	-9.412075116533483},
{22.39803125779552,	-9.928230630526105},
{19.129375625530766,	-7.909945873977731},
{15.212896244846505,	-6.364512361522929},
{19.101744268844218,	-6.256351574614246},
{14.61200844529651,	-10.766822606271138},
{18.763361955362512,	-3.9335172137849597},
{14.667437033115515,	-3.462119223970693},
{15.670131373873334,	-8.692367106617406},
{19.643842827260382,	-10.962303119119854},
{13.273066413189758,	-4.425759322558244},
{14.88062574573253,	-2.2810762815779544},
{12.926787832452279,	-2.799696661184063},
{11.349438643229638,	-4.756076934174296},
{14.18424269107755,	-5.6891241293434796},
{10.374490272200195,	-4.216871355489516},
{11.988239973851826,	-1.3600623002773427},
{12.425302128341848,	-5.121294219457575},
{14.29437181327363,	0.9597996922845775},
{14.979117798168353,	0.7598250232993804},
{9.306183848573202,	-5.174760926254212},
{14.662196245867449,	-3.9135431248707837},
{12.638394341651011,	-3.431695585946687},
{13.077806122429678,	-0.40257508623756877},
{14.869572188862143,	-1.3892398851441827},
{10.31865838029905,	-0.42616267449798517},
{8.682680647176117,	-4.9671369599615085},
{13.542356489766478,	1.013225286397562},
{10.439090953531561,	-4.125207061755839},
{14.556825433400398,	1.031620766133197},
{10.020473756007368,	-1.2088618383613143},
{12.4355631400469,	-2.179200176149255},
{10.273237279465436,	-4.17902833684632},
{11.93019956818149,	-2.169066183177762},
{10.233625906270412,	-3.6990593537166827},
{11.15299948068703,	2.3373609057224396},
{16.732552469269542,	-3.307684682602374},
{12.410964548005726,	1.6623465622962268},
{14.728130229351471,	-4.360257647648524},
{16.717701600304736,	-0.25111530653785064},
{17.72878966894084,	-1.5347094007755997},
{16.79583888525098,	1.446478518679001},
{17.19259538586885,	-1.3932078181177143},
{14.69378886536445,	-1.2286438065817622},
{20.901899939007215,	-2.695421376441532},
{13.187270466007657,	-4.917663284911951},
{14.447713283624342,	-1.0222390528227479},
{13.693767629659124,	-1.9606263637644812},
{19.256950055111997,	-2.3245449701864667},
{16.832401212727056,	-3.96629925591355},
{21.744960965416812,	-5.068097475452674},
{20.81159986437474,	-0.9437840813069558},
{17.863752389675874,	-5.489528314849022},
{19.161446416979054,	-5.669920297725421},
{22.47068217415091,	-1.3695436590097607},
{20.59442734640586,	-3.9688942864575614},
{16.755689364421574,	-5.277075456682147},
{15.722882661589825,	-1.8660553566271902},
{21.29171466215486,	2.9884495920215643},
{18.36358107745686,	-1.4231521529679503},
{21.352110910358817,	-2.1063122513914143},
{19.876633088911362,	-3.464250726289209},
{19.42541628100187,	-1.724896330265186},
{22.940940468007142,	-2.9992964234112307},
{21.844083815737683,	-5.028652138064105},
{21.06559247271462,	-0.4144679864724212},
{17.81061317296697,	2.8341343196587943},
{23.76506366627146,	1.5592382123403148},
{22.71901843115507,	-1.2623664721763},
{20.965816269021495,	-4.174368419456951},
{25.11501783804052,	-4.674488204027017},
{26.886371117209734,	3.4440623456640598},
{26.996485980650398,	0.22039179863046776},
{23.161572867314774,	1.214221229676392},
{24.746662798258175,	1.7183522608160962},
{22.2015255043502,	-0.900360752657579},
{28.38941890067357,	-6.726510312826256},
{21.906430992175117,	-2.3127119603170643},
{24.86069626568343,	-1.402252389856054},
{25.937222917882607,	-5.068331947577715},
{24.536048784338945,	-0.4099482561415462},
{24.867278982008692,	-0.6941622231627917},
{23.3931176494229,	-2.538728917031664},
{17.416714846157603,	-6.160841364655436},
{24.227118258386046,	-0.8381854620359208},
{22.21441668886013,	-8.279998077946},
{24.067880909384478,	-2.479817387460143},
{20.91435191116242,	-8.069408769757906},
{16.064562513458945,	-7.351011947520225},
{20.518853358864376,	-8.027318143423631},
{18.819486923520984,	-9.613496645896895},
{23.783072904592498,	-4.138841023525141},
{22.614588080132343,	-8.541905187192222},
{24.42171257689138,	-7.433433989143016},
{20.280617134539693,	-3.1278426869151765},
{23.596970668756356,	-5.960218828192795},
{19.123278849892372,	-5.576933843069032},
{26.99254699558361,	-1.6179779991928172},
{20.37840321762957,	-5.662296405182328},
{25.214017586902195,	-8.60843878879492},
{21.011814489032986,	-11.333263170007797},
{25.492325647502206,	-11.68209411931728},
{28.35033432783507,	-8.697590396888419},
{22.583173978195997,	-6.615736204862883},
{23.591087488804263,	-5.795741852451152},
{25.13393941713466,	-5.365399377904099},
{18.162899437163865,	-8.150586929486328},
{21.420809778725097,	-5.067296294683596},
{17.337386901390566,	-5.910509960512267},
{22.469654108369703,	-5.526483843631719},
{21.336373806511432,	-11.791329614389324},
{24.1827163322083,	-7.511997766514972},
{22.456596158352955,	-8.535742545797937},
{20.686782560654347,	-7.305217653734468},
{16.92986468628262,	-6.016683056707776},
{15.18576034813352,	-14.49700682898591},
{22.331356823618748,	-14.220552605733687},
{20.42776871087727,	-14.982616697302067},
{16.20117802888649,	-13.85317474321101},
{17.79500800081945,	-10.788510491952092},
{17.768918896019127,	-7.233240233142333},
{14.96049793251688,	-13.314832635848205},
{16.442653044066766,	-8.283144053538999},
{16.000308077236735,	-12.19412091925518},
{18.847978004861318,	-10.896462518064695},
{15.795721685610147,	-13.021185948489045},
{12.169140624376393,	-15.596850227264415},
{15.838692247903207,	-14.382516263054558},
{18.12150645606384,	-16.29367890089668},
{16.362800964573857,	-12.680989986185722},
{16.661092027527353,	-16.849403084254785},
{18.747930450189784,	-12.261989470066442},
{19.748261775209212,	-16.494816208015678},
{21.36479924436863,	-17.923673749916748},
{17.864931594075404,	-9.605160424537505},
{19.922806191504588,	-13.841258070817343},
{19.28389215898298,	-15.136535436521914},
{19.710850584876688,	-11.650122360459816},
{20.706277727647194,	-15.11277701547652},
{24.014644104861794,	-17.379874257567213},
{25.900262404471277,	-10.770998140371011},
{22.56733857539799,	-15.235192303112555},
{21.569983207661988,	-14.348966087619301},
{18.216070111290772,	-14.5887793749609},
{22.45663280984794,	-13.41191687731093},
{20.552010954655888,	-9.452762059512565},
{18.982364801885826,	-15.582833421568964},
{22.581980086434584,	-10.558956805847036},
{20.43474848753403,	-9.292546647293083},
{21.795390037105776,	-14.369005979834938},
{19.623841383908058,	-10.264107243946537},
{25.874534673100428,	-13.979521598915003},
{26.299181747511497,	-12.115645233894831},
{27.029527649548648,	-12.994939782805464},
{22.624276804246737,	-9.332876158349656},
{21.57867881153979,	-13.372760852374899},
{21.698787569463086,	-10.186732795358623},
{22.030690870052858,	-14.191727800367119},
{24.98968434107591,	-12.295540831513012},
{20.86984814481479,	-10.440015180986414},
{22.279207513404735,	-16.39058422098314},
{25.997104968877395,	-13.78384084292194},
{22.471733978464954,	-18.188147518531892},
{22.559503567649802,	-11.297418196480411},
{26.136256857266112,	-11.621193305683452},
{21.5761142684983,	-18.740286368059298},
{22.362999156549908,	-19.117144751522687},
{23.1064889821203,	-17.083045631617516},
{21.912901017535358,	-13.15996920091816},
{23.87477676202414,	-17.467043879384676},
{20.28333414149387,	-12.901101597010715},
{18.424510882656552,	-15.188544311741204},
{21.142703353279284,	-15.73024330061017},
{19.70099047102478,	-19.143693180160888},
{24.419922847872993,	-13.370580124567105},
{23.03968916367736,	-16.584446446436726},
{22.726117724246166,	-19.962209769434637},
{21.880225230197723,	-19.224263835446003},
{21.55374185144148,	-22.3806080944605},
{21.323800363802054,	-18.935472563496532},
{18.98772947439308,	-19.713983432547032},
{21.735443677609048,	-20.549928906507226},
{25.998013171396476,	-20.07451012426673},
{26.63168735572183,	-19.544884441362534},
{24.98881362545753,	-19.742698972958504},
{25.637777283364063,	-15.556726475578074},
{22.73729157021171,	-17.055229830364645},
{21.770242115792065,	-17.576580137955027},
{23.836982809719874,	-16.882490253667193},
{20.739401882893613,	-17.649820179016906},
{26.098625393524163,	-24.53068560291762},
{22.04846642474976,	-23.686292764396946},
{25.612301530486164,	-19.76609189461202},
{24.053970475293916,	-24.697463648421106},
{25.93381082250029,	-26.195800539453877},
{23.28998163548446,	-20.27752459939033},
{27.980146828079462,	-20.47897285065809},
{25.84895286137285,	-23.369162173002735},
{20.757197778571623,	-24.17541969274773},
{21.82450500682686,	-21.848042384778495},
{25.071644513409737,	-24.013192417427614},
{21.825694190952177,	-25.021691507622812},
{20.35409288827292,	-25.976759382923092},
{21.68496144662648,	-27.326122630060787},
{20.241347809829218,	-20.194426120219177},
{25.371835917944928,	-23.908319645907685},
{22.076362441065815,	-21.270576780914777},
{19.06713204644749,	-17.527983906861454},
{22.295638202415937,	-24.835470908005533},
{17.440095540132557,	-24.456058042882944},
{17.822406372203407,	-22.278276584767017},
{21.827149184618243,	-18.57575332667179},
{19.992208735967214,	-22.42944537641334},
{21.100755242731477,	-19.130624747285854},
{19.227174865823056,	-18.633129807796124},
{17.41042849410354,	-17.191154065055446},
{18.773600432957956,	-20.36229984734177},
{21.18717010571313,	-25.34542228733129},
{14.93244306690141,	-22.069481918962612},
{21.880342193445266,	-19.484073256985685},
{19.081987966688157,	-26.477134750541993},
{17.847837764810734,	-23.469225623595396},
{23.030268531748188,	-22.51674829735754},
{15.058471621205737,	-21.229611936800396},
{20.53200736711019,	-21.796570834533124},
{18.010249883167212,	-21.19128979813531},
{19.66473907098592,	-24.838835753891747},
{17.117834418596072,	-25.51987227786621},
{14.10342279519027,	-24.120314395345577},
{18.636767844796168,	-26.289331361625756},
{17.360842103118934,	-20.78606708234263},
{17.10570850396277,	-23.966436945241824},
{16.682430383743576,	-22.235103354590183},
{15.016696359977345,	-23.543333780865733},
{14.412739777870378,	-22.948130905802024},
{15.993478024280101,	-25.183611058048548},
{18.979984248162754,	-18.965862126411047},
{15.329262946753634,	-20.529024893648746},
{19.436328812190023,	-18.62776375395409},
{17.672292529669697,	-23.609575353693458},
{18.905498307855293,	-22.94805397166834},
{16.3531573571453,	-21.17291169302033},
{12.249676198621348,	-14.724889634746784},
{17.695459649396057,	-21.676700533148715},
{15.657846836886481,	-17.721660653682786},
{14.549564775910195,	-17.736882141386808},
{22.97934233694451,	-21.392601785447788},
{17.556159148934533,	-19.578562007406873},
{23.38488079795191,	-14.608162550590588},
{18.38258095966568,	-16.90242247817382},
{19.546261321251052,	-16.8740519071936},
{15.166104149879697,	-13.882441831697585},
{21.828699820724893,	-17.106514977913186},
{17.501052093757828,	-13.214626581333835},
{14.941207273286235,	-12.422778294907676},
{15.81555911231492,	-15.03828122150503},
{14.239497029517455,	-17.777766568771295},
{20.592631467340563,	-13.579524728885072},
{17.13105350381085,	-16.46384635255336},
{19.39478522023773,	-14.703133901142804},
{12.639938639401166,	-20.499962619431763},
{17.45779885367928,	-13.550722806344899},
{11.040399497100267,	-18.78235747617304},
{11.82593906467889,	-14.668898864246056},
{10.911171842662492,	-12.938835545136307},
{9.627148564018572,	-12.422729335385991},
{11.524884494300073,	-12.439725423699802},
{15.001088309619302,	-13.087067854950778},
{12.494550389955005,	-16.63373777440931},
{9.029481854245471,	-14.1356020108341},
{14.833424585485346,	-17.456088302155692},
{14.3879043148069,	-16.128245089913097},
{14.220278061913483,	-19.659929448446615},
{17.252400395152407,	-16.652034424348088},
{15.79406122099087,	-22.092843406496343},
{12.467762309417946,	-20.797576224854303},
{14.23965000087028,	-17.608412923005563},
{13.040783677469072,	-21.416208597098404},
{8.744095962339927,	-16.175504327285573},
{9.907438995032892,	-20.69547121653638},
{14.438365653754508,	-17.476272456979892},
{11.56715488788136,	-19.43567782165796},
{8.624261884189028,	-18.72532720494059},
{10.302679270085783,	-16.516156562394205},
{9.707875604631614,	-15.650505554551476},
{13.071985642967618,	-20.255078211982337},
{7.270814687019683,	-16.05326963217108},
{10.215887880552103,	-15.064074338905531},
{8.849688865076473,	-15.536497834041175},
{7.937075167202968,	-13.995052772266355},
{7.439110479460256,	-11.63578358533923},
{10.241097860643125,	-16.714631067824584},
{5.099899329425394,	-14.371258835628842},
{8.431989833560262,	-12.031501181216713},
{8.880882203610922,	-14.417588616941758},
{5.711292462028892,	-14.274200956375562},
{7.729202357931713,	-8.439788792807375},
{8.353313987590349,	-8.76928249578313},
{6.7738923087234895,	-13.808719211888945},
{5.666150684326202,	-14.21204079295429},
{3.3639934466982844,	-9.540614837283808},
{2.0303317221834085,	-10.639358737816492},
{8.066611828165161,	-7.687561312522813},
{8.528156689222811,	-8.516861950861035},
{7.270880786134405,	-11.035961186637497},
{4.25332463975594,	-9.640548075589653},
{5.776861154963508,	-13.190345066835327},
{2.9493431359598485,	-13.794856262327151},
